"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de sesión","Inicio de sesión inválido","FAILURE","2023-04-27T21:43:44.511-05:00[America/Bogota]","0.0","16.8"
"Inicio de sesión","Inicio de sesión inválido","FAILURE","2023-04-27T21:43:44.511-05:00[America/Bogota]","0.0","16.8"
"Inicio de sesión","Inicio de sesión inválido","FAILURE","2023-04-27T21:43:44.511-05:00[America/Bogota]","0.0","16.8"
"Inicio de sesión","Inicio de sesión inválido","FAILURE","2023-04-27T21:43:44.511-05:00[America/Bogota]","0.0","16.8"
